Date;Open;High;Low;Close;Adj Close;Volume
2017-01-03;115.800003;116.33000200000001;114.760002;116.150002;114.31176;28781900
2017-01-04;115.849998;116.510002;115.75;116.019997;114.183815;21118100
2017-01-05;115.91999799999999;116.860001;115.809998;116.610001;114.764473;22193600
2017-01-06;116.779999;118.160004;116.470001;117.910004;116.04391499999998;31751900
2017-01-09;117.949997;119.43;117.940002;118.989998;117.106812;33561900
2017-01-10;118.769997;119.379997;118.300003;119.110001;117.224907;24462100
2017-01-11;118.739998;119.93;118.599998;119.75;117.854782;27588600
2017-01-12;118.900002;119.300003;118.209999;119.25;117.36269399999999;27086200
2017-01-13;119.110001;119.620003;118.809998;119.040001;117.156021;26111900
2017-01-17;118.339996;120.239998;118.220001;120.0;118.100822;34439800
2017-01-18;120.0;120.5;119.709999;119.989998;118.090981;23713000
2017-01-19;119.400002;120.089996;119.370003;119.779999;117.8843;25597300
2017-01-20;120.449997;120.449997;119.730003;120.0;118.100822;32597900
2017-01-23;120.0;120.809998;119.769997;120.08000200000001;118.17955800000001;22050200
2017-01-24;119.550003;120.099998;119.5;119.970001;118.071304;23211000
2017-01-25;120.41999799999999;122.099998;120.279999;121.879997;119.951073;32377600
2017-01-26;121.66999799999999;122.440002;121.599998;121.940002;120.01013200000001;26337600
2017-01-27;122.139999;122.349998;121.599998;121.949997;120.019958;20562900
2017-01-30;120.93;121.629997;120.660004;121.629997;119.705017;30377500
2017-01-31;121.150002;121.389999;120.620003;121.349998;119.42945900000001;49201000
2017-02-01;127.029999;130.490005;127.010002;128.75;126.712341;111985000
2017-02-02;127.980003;129.389999;127.779999;128.529999;126.495819;33710400
2017-02-03;128.309998;129.190002;128.16000400000001;129.080002;127.037125;24507300
2017-02-06;129.130005;130.5;128.899994;130.28999299999998;128.22796599999998;26845900
2017-02-07;130.53999299999998;132.08999599999999;130.449997;131.529999;129.448349;38183800
2017-02-08;131.350006;132.220001;131.220001;132.03999299999998;129.950287;23004100
2017-02-09;131.649994;132.449997;131.119995;132.419998;130.889282;28349900
2017-02-10;132.46000700000002;132.940002;132.050003;132.119995;130.592758;20065500
2017-02-13;133.080002;133.820007;132.75;133.28999299999998;131.749222;23035400
2017-02-14;133.470001;135.08999599999999;133.25;135.020004;133.45924399999998;33226200
2017-02-15;135.520004;136.270004;134.619995;135.509995;133.943573;35623100
2017-02-16;135.669998;135.899994;134.83999599999999;135.350006;133.785416;22584600
2017-02-17;135.100006;135.830002;135.100006;135.720001;134.151154;22198200
2017-02-21;136.229996;136.75;135.979996;136.699997;135.11982700000002;24507200
2017-02-22;136.429993;137.119995;136.110001;137.110001;135.52507;20836900
2017-02-23;137.380005;137.479996;136.300003;136.529999;134.951782;20788200
2017-02-24;135.91000400000001;136.66000400000001;135.279999;136.66000400000001;135.080292;21776600
